Multi Computer Forms,Inventory & Accounts Management
Report:,Supplier Ledger
Info:,Supplier: Supplier A
Generated On:,2026-07-01 14:10

Date,Type,Description,Debit,Credit,Balance
1900-01-01,Opening,Opening Balance (Payable),0.0,200000.0,200000.0
2025-07-01,Purchase,Purchase #5 — Laptop HP,0.0,30000.0,230000.0
2026-01-22,Purchase,Purchase #6 — Laptop HP,0.0,168000.0,398000.0
2026-04-09,Purchase,Purchase #8 — Laptop HP,0.0,625000.0,1023000.0
2026-06-21,Payment,Payment #5 (Bill #8) — Cash,600000.0,0.0,423000.0
2026-06-22,Purchase,Purchase #9 — Laptop HP,0.0,80000.0,503000.0
2026-06-22,Payment,Payment #1 (Bill #9) — Cash,80000.0,0.0,423000.0
2026-06-23,Adjustment,this is adjustment,100.0,0.0,422900.0
2026-06-23,Payment,Payment #4 — Cash,900000.0,0.0,-477100.0
2026-06-24,Payment,Payment #3 — Cash,77000.0,0.0,-554100.0
2026-06-24,Purchase,Purchase #10 — Computer Dell 4512,0.0,1125000.0,570900.0
2026-06-29,Purchase Return,Return #1 — Computer Dell 4512 (Bill #10),900000.0,0.0,-329100.0
